rc,p,ontime,timeout
0.9,0.0,29,2
0.9,0.02,25,6
0.9,0.04,2,28
0.9,0.06,3,27
0.9,0.08,1,28
0.9,0.1,2,26
0.9,0.12,6,22
0.9,0.14,23,7
0.9,0.16,20,10
0.9,0.18,31,0
0.9,0.2,30,1
0.9,0.22,30,0
0.9,0.27,30,0
0.9,0.32,31,0
0.9,0.37,31,0
0.9,0.42,31,0
0.9,0.47,30,1
0.9,0.52,31,0
0.9,0.57,31,0
0.9,0.62,31,0
0.9,0.67,31,0
0.9,0.72,31,0
0.9,0.77,31,0
0.9,0.82,31,0
0.9,0.87,31,0
0.9,0.92,30,0
0.9,0.97,30,0
0.7,0.0,32,8
0.7,0.02,33,7
0.7,0.04,33,7
0.7,0.06,28,12
0.7,0.08,28,12
0.7,0.1,1,39
0.7,0.12,2,38
0.7,0.14,4,36
0.7,0.16,1,39
0.7,0.18,1,39
0.7,0.2,4,36
0.7,0.22,2,38
0.7,0.27,6,34
0.7,0.32,10,30
0.7,0.37,21,19
0.7,0.42,22,18
0.7,0.47,40,0
0.7,0.52,38,2
0.7,0.57,40,0
0.7,0.62,40,0
0.7,0.67,40,0
0.7,0.72,40,0
0.7,0.77,40,0
0.7,0.82,40,0
0.7,0.87,40,0
0.7,0.92,40,0
0.7,0.97,40,0
1.0,0.0,10,10
1.0,0.02,20,0
1.0,0.04,20,0
1.0,0.06,20,0
1.0,0.08,20,0
1.0,0.1,19,0
1.0,0.12,20,0
1.0,0.14,19,0
1.0,0.16,20,0
1.0,0.18,20,0
1.0,0.2,20,0
1.0,0.22,20,0
1.0,0.27,20,0
1.0,0.32,20,0
1.0,0.37,20,0
1.0,0.42,20,0
1.0,0.47,20,0
1.0,0.52,20,0
1.0,0.57,20,0
1.0,0.62,20,0
1.0,0.67,20,0
1.0,0.72,20,0
1.0,0.77,20,0
1.0,0.82,19,0
1.0,0.87,20,0
1.0,0.92,20,0
1.0,0.97,20,0
0.5,0.0,45,8
0.5,0.02,41,12
0.5,0.04,49,4
0.5,0.06,49,5
0.5,0.08,47,8
0.5,0.1,49,5
0.5,0.12,34,20
0.5,0.14,48,6
0.5,0.16,30,24
0.5,0.18,1,49
0.5,0.2,5,46
0.5,0.22,3,48
0.5,0.27,3,47
0.5,0.32,9,45
0.5,0.37,2,51
0.5,0.42,6,46
0.5,0.47,8,43
0.5,0.52,6,45
0.5,0.57,16,37
0.5,0.62,24,28
0.5,0.67,41,10
0.5,0.72,37,14
0.5,0.77,40,10
0.5,0.82,50,0
0.5,0.87,47,1
0.5,0.92,49,0
0.5,0.97,48,0
0.3,0.0,31,4
0.3,0.02,30,5
0.3,0.04,30,5
0.3,0.06,27,8
0.3,0.08,29,6
0.3,0.1,29,5
0.3,0.12,31,2
0.3,0.14,28,6
0.3,0.16,29,5
0.3,0.18,28,5
0.3,0.2,30,2
0.3,0.22,23,9
0.3,0.27,17,16
0.3,0.32,1,32
0.3,0.37,2,31
0.3,0.42,0,34
0.3,0.47,1,33
0.3,0.52,0,34
0.3,0.57,3,30
0.3,0.62,3,30
0.3,0.67,4,29
0.3,0.72,6,27
0.3,0.77,3,30
0.3,0.82,11,22
0.3,0.87,7,26
0.3,0.92,14,19
0.3,0.97,19,14
