scenario, pChange, gamma, recovery_strategy, required_certainty, build_plans, matrices, visited_states, actions, time, timeout, cost
dyngrid, 0.00, 1.0000, RANDOM, 0.90, 0, 1881, 4653, 1880, 10134, timeout, 2052.8000000000116
dyngrid, 0.02, 0.9960, RANDOM, 0.90, 0, 221, 624, 221, 2028, ontime, 241.50000000000014
dyngrid, 0.04, 0.9920, RANDOM, 0.90, 0, 26, 188, 26, 994, ontime, 27.999999999999993
dyngrid, 0.06, 0.9880, RANDOM, 0.90, 0, 55, 178, 55, 1227, ontime, 60.99999999999999
dyngrid, 0.08, 0.9840, RANDOM, 0.90, 0, 20, 105, 20, 684, ontime, 22.0
dyngrid, 0.10, 0.9800, RANDOM, 0.90, 0, 19, 85, 19, 640, ontime, 19.799999999999997
dyngrid, 0.12, 0.9760, RANDOM, 0.90, 0, 100, 257, 100, 1688, ontime, 106.20000000000003
dyngrid, 0.14, 0.9720, RANDOM, 0.90, 0, 271, 620, 271, 2270, ontime, 290.70000000000005
dyngrid, 0.16, 0.9680, RANDOM, 0.90, 0, 50, 127, 50, 1240, ontime, 55.09999999999999
dyngrid, 0.18, 0.9640, RANDOM, 0.90, 0, 95, 189, 95, 1343, ontime, 100.80000000000001
dyngrid, 0.20, 0.9600, RANDOM, 0.90, 0, 213, 425, 213, 2295, ontime, 228.10000000000008
dyngrid, 0.22, 0.9560, RANDOM, 0.90, 0, 241, 481, 241, 2356, ontime, 255.40000000000012
dyngrid, 0.27, 0.9460, RANDOM, 0.90, 0, 105, 105, 105, 1167, ontime, 105.0
dyngrid, 0.32, 0.9360, RANDOM, 0.90, 0, 144, 144, 144, 1973, ontime, 144.4
dyngrid, 0.37, 0.9260, RANDOM, 0.90, 0, 20, 20, 20, 533, ontime, 21.200000000000003
dyngrid, 0.42, 0.9160, RANDOM, 0.90, 0, 30, 30, 30, 887, ontime, 30.4
dyngrid, 0.47, 0.9060, RANDOM, 0.90, 0, 43, 43, 43, 778, ontime, 43.0
dyngrid, 0.52, 0.8960, RANDOM, 0.90, 0, 20, 0, 20, 751, ontime, 21.199999999999996
dyngrid, 0.57, 0.8860, RANDOM, 0.90, 0, 26, 0, 26, 865, ontime, 26.4
dyngrid, 0.62, 0.8760, RANDOM, 0.90, 0, 33, 0, 33, 1047, ontime, 34.599999999999994
